"partida_id","data","mandante","visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_placar","visitante_placar","mandante_estado","visitante_estado","Ano","Ano do Campeonato","Jogo","Equipe","Mando","GP","GS","P","J","V","E","D","SG"
"5373","42505","Figueirense","Ponte Preta","V. Eutrópio","E. Baptista","-"," Orlando Scarpelli","0","0","SC","SP","2016","2016","Figueirense x Ponte Preta","Figueirense","casa","0","0","1","1","0","1","0","0"
"5373","42505","Figueirense","Ponte Preta","V. Eutrópio","E. Baptista","-"," Orlando Scarpelli","0","0","SC","SP","2016","2016","Figueirense x Ponte Preta","Ponte Preta","fora","0","0","1","1","0","1","0","0"
"5374","42505","Corinthians","Gremio","A. Bacchi","R. Machado Marques","-","Neo Química Arena","0","0","SP","RS","2016","2016","Corinthians x Gremio","Corinthians","casa","0","0","1","1","0","1","0","0"
"5374","42505","Corinthians","Gremio","A. Bacchi","R. Machado Marques","-","Neo Química Arena","0","0","SP","RS","2016","2016","Corinthians x Gremio","Gremio","fora","0","0","1","1","0","1","0","0"
"5376","42505","Internacional","Chapecoense","A. Fucks","A. Ferreira","-","Estádio José Pinheiro Borda","0","0","RS","SC","2016","2016","Internacional x Chapecoense","Internacional","casa","0","0","1","1","0","1","0","0"
"5376","42505","Internacional","Chapecoense","A. Fucks","A. Ferreira","-","Estádio José Pinheiro Borda","0","0","RS","SC","2016","2016","Internacional x Chapecoense","Chapecoense","fora","0","0","1","1","0","1","0","0"
"5377","42511","Ponte Preta","Palmeiras","E. Baptista","A. Stival","Ponte Preta"," Moisés Lucarelli","2","1","SP","SP","2016","2016","Ponte Preta x Palmeiras","Ponte Preta","casa","2","1","3","1","1","0","0","1"
"5377","42511","Ponte Preta","Palmeiras","E. Baptista","A. Stival","Ponte Preta"," Moisés Lucarelli","2","1","SP","SP","2016","2016","Ponte Preta x Palmeiras","Palmeiras","fora","1","2","0","1","0","0","1","-1"
"5378","42511","Fluminense","Santa Cruz","L. Culpi","M. Mendes","-","Estádio Municipal General Raulino de Oliveira","2","2","RJ","PE","2016","2016","Fluminense x Santa Cruz","Fluminense","casa","2","2","1","1","0","1","0","0"
"5378","42511","Fluminense","Santa Cruz","L. Culpi","M. Mendes","-","Estádio Municipal General Raulino de Oliveira","2","2","RJ","PE","2016","2016","Fluminense x Santa Cruz","Santa Cruz","fora","2","2","1","1","0","1","0","0"
"5379","42511","Cruzeiro","Figueirense","P. Gomes Bento","V. Eutrópio","-"," Mineirão","2","2","MG","SC","2016","2016","Cruzeiro x Figueirense","Cruzeiro","casa","2","2","1","1","0","1","0","0"
"5379","42511","Cruzeiro","Figueirense","P. Gomes Bento","V. Eutrópio","-"," Mineirão","2","2","MG","SC","2016","2016","Cruzeiro x Figueirense","Figueirense","fora","2","2","1","1","0","1","0","0"
"5380","42512","Santos","Coritiba","D. Silvestre Júnior","G. Kleina","Santos","Estádio Urbano Caldeira","2","1","SP","PR","2016","2016","Santos x Coritiba","Santos","casa","2","1","3","1","1","0","0","1"
"5380","42512","Santos","Coritiba","D. Silvestre Júnior","G. Kleina","Santos","Estádio Urbano Caldeira","2","1","SP","PR","2016","2016","Santos x Coritiba","Coritiba","fora","1","2","0","1","0","0","1","-1"
"5381","42512","Athletico-PR","Atletico-MG","P. Autuori de Mello","M. de Oliveira Santos","-","Estádio Joaquim Américo Guimarães","1","1","PR","MG","2016","2016","Athletico-PR x Atletico-MG","Athletico-PR","casa","1","1","1","1","0","1","0","0"
"5381","42512","Athletico-PR","Atletico-MG","P. Autuori de Mello","M. de Oliveira Santos","-","Estádio Joaquim Américo Guimarães","1","1","PR","MG","2016","2016","Athletico-PR x Atletico-MG","Atletico-MG","fora","1","1","1","1","0","1","0","0"
"5382","42512","Vitoria","Corinthians","V. Carmo Mancini","A. Bacchi","Vitoria"," Barradão","3","2","BA","SP","2016","2016","Vitoria x Corinthians","Vitoria","casa","3","2","3","1","1","0","0","1"
"5382","42512","Vitoria","Corinthians","V. Carmo Mancini","A. Bacchi","Vitoria"," Barradão","3","2","BA","SP","2016","2016","Vitoria x Corinthians","Corinthians","fora","2","3","0","1","0","0","1","-1"
"5383","42512","Chapecoense","America-MG","A. Ferreira","G. de Oliveira","Chapecoense","Arena Condá","3","1","SC","MG","2016","2016","Chapecoense x America-MG","Chapecoense","casa","3","1","3","1","1","0","0","2"
"5383","42512","Chapecoense","America-MG","A. Ferreira","G. de Oliveira","Chapecoense","Arena Condá","3","1","SC","MG","2016","2016","Chapecoense x America-MG","America-MG","fora","1","3","0","1","0","0","1","-2"
"5384","42512","Sao Paulo","Internacional","E. Bauza","A. Fucks","Internacional"," Morumbi","1","2","SP","RS","2016","2016","Sao Paulo x Internacional","Sao Paulo","casa","1","2","0","1","0","0","1","-1"
"5384","42512","Sao Paulo","Internacional","E. Bauza","A. Fucks","Internacional"," Morumbi","1","2","SP","RS","2016","2016","Sao Paulo x Internacional","Internacional","fora","2","1","3","1","1","0","0","1"
"5385","42512","Gremio","Flamengo","R. Machado Marques","J. de Almeida Filho","Gremio","Arena do Grêmio","1","0","RS","RJ","2016","2016","Gremio x Flamengo","Gremio","casa","1","0","3","1","1","0","0","1"
"5385","42512","Gremio","Flamengo","R. Machado Marques","J. de Almeida Filho","Gremio","Arena do Grêmio","1","0","RS","RJ","2016","2016","Gremio x Flamengo","Flamengo","fora","0","1","0","1","0","0","1","-1"
"5386","42512","Sport","Botafogo-RJ","O. de Oliveira Filho","R. Gomes Raymundo","-","Adelmar da Costa Carvalho","1","1","PE","RJ","2016","2016","Sport x Botafogo-RJ","Sport","casa","1","1","1","1","0","1","0","0"
"5386","42512","Sport","Botafogo-RJ","O. de Oliveira Filho","R. Gomes Raymundo","-","Adelmar da Costa Carvalho","1","1","PE","RJ","2016","2016","Sport x Botafogo-RJ","Botafogo-RJ","fora","1","1","1","1","0","1","0","0"
"5387","42515","Figueirense","Santos","V. Eutrópio","D. Silvestre Júnior","-"," Orlando Scarpelli","2","2","SC","SP","2016","2016","Figueirense x Santos","Figueirense","casa","2","2","1","1","0","1","0","0"
"5387","42515","Figueirense","Santos","V. Eutrópio","D. Silvestre Júnior","-"," Orlando Scarpelli","2","2","SC","SP","2016","2016","Figueirense x Santos","Santos","fora","2","2","1","1","0","1","0","0"
"5388","42515","Botafogo-RJ","Athletico-PR","R. Gomes Raymundo","B. Marques Fernandes Pivetti","Botafogo-RJ","Helenão","2","1","RJ","PR","2016","2016","Botafogo-RJ x Athletico-PR","Botafogo-RJ","casa","2","1","3","1","1","0","0","1"
