partida_id,clube,posse_de_bola,passes,faltas,impedimentos,escanteios
5205,Santos,0.51,430,16,1,4
5206,Gremio,0.35,330,9,1,4
5206,Figueirense,0.65,572,14,3,9
5207,Sao Paulo,0.53,464,10,0,7
5207,Internacional,0.47,420,10,1,3
5208,Vasco,0.47,416,19,1,5
5208,Atletico-MG,0.53,463,16,5,5
5209,Joinville,0.23,169,17,2,2
5209,Athletico-PR,0.77,539,15,5,4
5210,Figueirense,0.46,420,15,1,3
5210,Cruzeiro,0.54,476,15,5,4
5211,Ponte Preta,0.36,294,17,1,11
5211,Chapecoense,0.64,507,9,1,9
5212,Goias,0.26,248,12,0,3
5212,Gremio,0.74,690,15,3,5
5213,Palmeiras,0.49,312,20,2,11
5213,Corinthians,0.51,351,14,2,1
5215,Flamengo,0.47,402,24,0,9
5215,Fluminense,0.53,437,13,2,5
5214,Coritiba,0.48,365,22,3,1
5214,Avai,0.52,363,19,1,4
5216,Santos,0.44,448,9,3,1
5216,Sport,0.56,517,9,0,7
5217,Ponte Preta,0.47,406,20,0,2
5217,Vasco,0.53,438,23,0,4
5218,Atletico-MG,0.62,587,17,3,5
5218,Avai,0.38,369,16,2,2
5219,Palmeiras,0.54,426,23,0,3
5219,Internacional,0.46,367,21,2,3
5220,Athletico-PR,0.49,407,9,1,6
5220,Figueirense,0.51,403,7,2,10
5222,Sao Paulo,0.52,462,9,3,2
5222,Santos,0.48,431,11,2,2
5223,Gremio,0.44,473,6,2,6
5223,Corinthians,0.56,604,7,0,4
5221,Fluminense,0.47,376,24,2,7
5221,Coritiba,0.53,426,11,1,3
5224,Goias,0.4,382,8,0,6
5224,Sport,0.6,591,6,1,5
5225,Chapecoense,0.45,305,10,3,6
5225,Joinville,0.55,361,13,2,2
5226,Flamengo,0.46,360,18,1,3
5226,Cruzeiro,0.54,412,10,2,7
5227,Coritiba,0.62,514,13,0,4
5227,Internacional,0.38,322,26,0,3
5228,Palmeiras,0.53,424,19,3,4
5228,Figueirense,0.47,382,18,5,4
5230,Joinville,0.31,267,17,3,6
5230,Corinthians,0.69,595,10,2,8
5229,Santos,0.62,531,15,0,10
5229,Ponte Preta,0.38,333,22,1,2
5231,Cruzeiro,0.35,278,17,4,3
5231,Atletico-MG,0.65,499,16,3,9
5232,Sao Paulo,0.48,460,13,0,4
5232,Gremio,0.52,473,11,1,6
5233,Flamengo,0.51,440,12,3,7
5233,Chapecoense,0.49,429,13,1,3
5234,Athletico-PR,0.56,423,20,2,13
5234,Vasco,0.44,351,18,4,6
5236,Fluminense,0.43,336,17,0,2
5236,Sport,0.57,440,19,1,3
5235,Goias,0.35,326,19,2,3
5235,Avai,0.65,581,18,2,2
5239,Ponte Preta,0.51,489,11,2,1
5239,Goias,0.49,449,12,0,11
5237,Sport,0.67,555,11,6,3
5237,Joinville,0.33,262,19,3,5
5238,Fluminense,0.51,392,14,3,5
5238,Palmeiras,0.49,372,19,0,6
5241,Gremio,0.52,488,5,1,2
5241,Athletico-PR,0.48,423,13,1,7
5240,Avai,0.37,217,23,0,1
5240,Figueirense,0.63,362,16,0,6
5242,Santos,0.44,477,7,2,1
5242,Atletico-MG,0.56,592,11,1,3
5243,Corinthians,0.56,425,12,1,6
5243,Internacional,0.44,348,15,4,5
5244,Cruzeiro,0.53,437,15,0,11
5244,Vasco,0.47,398,4,2,11
5245,Chapecoense,0.41,354,14,2,3
5245,Sao Paulo,0.59,474,12,2,6
5246,Flamengo,0.73,627,12,2,10
5246,Coritiba,0.27,245,21,3,0
5248,Internacional,0.53,415,22,2,5
5248,Figueirense,0.47,368,22,0,5
5247,Gremio,0.59,432,17,1,2
5247,Palmeiras,0.41,284,22,2,9
5249,Ponte Preta,0.4,348,14,2,5
5249,Fluminense,0.6,498,14,1,7
5250,Joinville,0.55,437,12,0,8
5250,Goias,0.45,379,6,2,3
5251,Corinthians,0.57,464,8,2,9
5251,Santos,0.43,357,10,3,6
